REGIONS,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),,4634221.14,4686671.74,4961927.33,5123361.88,5155533.87,5338477.11,6146307.27,6325558.3,6477332.83,6435849.67,6584420.37,6682381.88,6664148.89
,Abaca (dried raw fiber),4767.96,4886.48,4887.75,4974.44,4896.94,4903.3,4856.24,4723.92,4798.98,4827.83,4861.07,4889.98,4891.09
,Abaca Leafsheath,0,0,0,0,0,0,0,0,0,0,0,0,0
,Abiu,0,0,0,0,0,0,0,0,0,0,0,0,0
,African Palm Leaves,77.5,86.5,90.5,96.55,107,94,76,68,17.75,17.8,16.77,17.3,17.85
,Agitway,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alogbati,2504.44,2502.44,2504.74,2508.02,2510.25,2509.52,2519.13,2545.06,2560.14,2567.87,2581.7,2595.21,2601.84
,Alubihod,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alucon(bungon),0,0,0,0,0,0,0,0,0,0,0,0,0
,Ampalaya Fruit,290.76,287.56,303.06,305.27,299.27,304.68,305.72,311.11,329.09,340.78,349.27,355.33,359.69
,Ampalaya leaves,43.78,43.04,44.44,42.4,43.35,41.57,41.82,42.23,43.71,44.06,44.56,44.84,45.32
,Anonas,1.74,0.8,0,0,0,0,0,0,0,0,0,0,0
,Anthurium,0.82,0.66,0.54,0.61,0.48,0.1,0,0,0,0,0,0,0
,Apat-apat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Apatot,0.65,0.49,1.11,0.23,0.22,0.1,0,0,0,0,0,0,0
,Ariwat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arrowroot,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ashuete,0.3,0.35,0.36,0.4,0.42,0.4,0.39,0.36,0.9,1.2,1.4,1.5,1.55
,Asparagus,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aster,0,0,0,0,0,0,0,0,0,0,0,0,0
,Atis,234.93,215.38,187.9,169.85,161.16,148.41,142.22,144.71,146.41,144.33,141.59,142.08,141.07
,Avocado,1322.61,607.39,666.62,651.49,650.53,648.82,733.53,731.3,734.06,740.91,755.36,764.38,772.35
,Azucena,0,0,0,0,0,0,0,0,0,0,0,0,0
,Baby's Breath,1.85,1.6,0,0,0,0,0,0,0,0,0,0,0
,Bagbagkong flower,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bagbagkong fruit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bago leaves,0.45,0.46,0.5,0.6,0.65,0.64,0.63,0.62,0.62,0.62,0.6,0.55,0.4
,Balimbing,2,1.77,2.36,2.7,3.44,3.47,3.63,4.08,4.84,4.32,4.16,4.07,3.86
,Ballaiba,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bamboo shoots,494.61,493.48,498.16,497.76,500.52,501.06,506.09,518.98,523.35,535.93,539.24,541.89,546.66
,Banaba,2.1,2.12,1.35,1.27,1.01,0.6,0.12,0.1,0.09,0.08,0,0,0
,Banana,396539.39,416909.57,440198.01,459605.99,493597.61,531047.72,533677.19,569716.42,593260.88,599671.06,595241.07,596024.53,599987.17
,Banana Blossom,17223.88,17163.58,17206.46,17068.84,17275.48,16950.54,16935.88,16987.7,17570.59,17617.8,17907.26,18212.54,18329.28
,Banana Bungulan,34444.89,33719.69,33096.8,32648.35,33430.9,33630.95,33478.82,33683.6,33847.95,33841.1,34039.96,34071.31,34070.61
,Banana Cavendish,105911.9,119273.94,138486.73,146876.12,158471.55,176417.88,179681.21,196694.67,207443.93,210242.03,198895.92,194383.98,195555.29
,Banana Lakatan,90014.93,95263.93,98913.2,102442.67,109405.4,123104.86,123771.28,130085.87,136046.12,138503.78,142406.88,144496.71,145641.46
,Banana Latundan,22110.28,22368.94,21839.22,20761.08,21510.24,21467,21246.12,21629.26,22140.03,22166.92,22361.42,22704.78,22912.29
,Banana Leaves,56.46,56.37,56.51,59.35,55.99,53.08,41.68,36.67,53.06,55.95,59.32,63.76,65.71
,Banana Others,12724.32,12220.3,11318.09,11265.05,11611.12,11438.4,11180.9,11274.6,11345.26,11192.15,11219.84,11263.49,11347.15
,Banana pith,0,0,0,0,0,0,0,0,0,0,0,0,0
,Banana Saba,131333.07,134062.76,136543.97,145612.73,159168.4,164988.63,164318.87,176348.42,182437.59,183725.08,186317.05,189104.26,190460.37
,Bariw Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0
,Basil,0,0,0,0,0,0,0,0,0,0,0,0,0
,Batwan,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bawing Sulasi,39.4,38.4,39.77,39.48,40.62,40.8,41.27,41.29,42.3,42.5,42.78,42.99,42.97
,Beets,0,0,0,0,0,0,0,0,0,0,0,0,0
,Betel Nut,4.9,3.96,3.35,2.64,1.4,0.85,0.6,0.45,0.19,0.18,0.08,0.06,0
,Bignay,0,0,0,0,0,0,0,0,0,0,0,0,0
,Black Beans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Black Pepper,158.47,157.14,162.56,159.79,154.5,149.34,146.3,144.11,145.82,140.14,149.38,158.84,172.17
,Blue Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bottle Gourd/Upo,837.08,809.99,853.32,845.38,846.18,846.07,836.91,865.81,881.25,871.3,882.01,894.76,910.28
,Breadfruit,2.65,2.92,2.64,2.75,3.8,4.06,3.85,4.04,4.24,4.01,3.37,3.01,3.59
,Broccoli,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bromeliad,1.1,0.98,0.85,0.1,0.09,0.08,0,0,0,0,0,0,0
,Cabbage,556.2,465.37,449.9,459.46,459.73,459.23,461.77,425.73,304.32,266,237.88,227.63,208.65
,Cacao,101.45,91.4,83.31,85.46,82.06,83.73,82.84,80.98,80.98,81.43,81.37,81.42,80.66
,Cactus,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calachuci,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calamansi,1212.73,1226.99,1378.74,1406.61,1508.92,1741,1732.14,2019.23,2066.72,2136.53,2185.46,2231.08,2264.83
,Calumpit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Camangeg,0,0,0,0,0,0,0,0,0,0,0,0,0
,Camansi,120.4,118.5,121.7,122.82,123.23,122.3,122.02,121.37,127.27,128.45,129.15,129.63,129.75
,Camatchili,1.04,0,0,0,0,0,0,0,0,0,0,0,0
,Camote tops,5644.05,5644.98,5663.74,5694,5701.01,5683.85,5673.68,5800.38,5836.87,5806.4,5833.23,5857.08,5874.98
,Canistel,2.11,1.32,0.46,0,0,0,0,0,0,0,0,0,0
,Carabao Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carnation,1.75,1.48,0,0,0,0,0,0,0,0,0,0,0
,Carrots,0,0,0,0,0,0,0,0,0,0,0,0.28,0.26
,Cashew,0.2,0.18,0.15,0,0,0,0,0,0,0,0,0,0
,Cassava,1008867.31,1007453.58,1018968.97,1035107.18,1045232.76,1024179.7,1007822.08,1037472.46,1063363.71,1062727.43,1087524.93,1094811.14,1091794.12
,Cassava for food,0,0,0,0,0,0,755474.26,659372.8,682650.14,681810.18,706209.93,713402.14,710352.72
,Cassava for Industrial use,0,0,0,0,0,0,252347.82,378099.66,380713.57,380917.25,381315,381409,381441.4
,Cassava tops,68,61.23,66.22,66.74,69.72,68.35,70.89,70.79,73.33,74.46,75.45,75.58,75.73
,Castor Beans,13.8,6.5,3.25,3.5,3,3,0,0,0,0,0,0,0
,Cauliflower,0,0,0,0,0,0,0,0,0,0,0,0,0
,Celery,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chayote fruit,309.55,309.2,300.63,307.6,311.29,313.58,314.13,315.64,325.5,333.71,335.03,338.07,339.98
,Chayote tops,60.05,57.96,56.92,57.08,58.39,54.87,56.45,56.56,58.3,58.7,59.4,58.9,60.33
,Chaysim,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chick Pea/Garbansos,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chico,4.48,3.75,4.68,4.06,0.72,0.22,0.25,0.27,0.11,0.25,0.08,0.07,0.06
,Chili Pepper Fruit,63.42,60.68,69,69.75,70.57,66.9,68.65,68.97,70.34,72.2,73.01,73.47,75.22
,Chinese malunggay,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chives,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysanthemum,4.4,3.05,2.3,1.8,1.2,0.35,0.1,0.12,0.1,0.12,0.13,0.13,0
,Coconut (w/ husk),1254755.49,1269268.4,1311218.9,1327298.98,1356181.58,1393167.92,1376545.21,1324068.91,1338625.16,1331804.97,1347973.4,1362431.88,1372800.44
,Coconut Leaves,19.69,17.03,19.12,20.56,20.47,18.71,13.09,13.69,13.96,14.41,14.1,14.62,14.81
,Coconut Mature,1245386.28,1260221.35,1302492.32,1318284.18,1347276.19,1382044.45,1365688.42,1313942.07,1328322.03,1321311.37,1336795.16,1350937.06,1361430.63
,Coconut pith,65.18,64.21,67.89,71.48,73.04,72,71.09,72.25,73.36,74.13,74.3,74.55,74.13
,Coconut Sap/Tuba,0.26,0.55,0.64,0.53,0.42,0.31,0.17,0.11,0.13,0.22,0.16,0.15,0.14
,Coconut Young,9369.21,9047.05,8726.58,9014.8,8905.4,11123.47,10856.79,10126.84,10303.13,10493.6,11178.24,11494.82,11369.81
,Coffee (dried berries w/ pulp),10802.92,10889.62,10628.57,10491.17,10349.18,10526.36,10341.59,10197.53,10477.19,10685.17,10563.1,10500.59,0
,Coffee (green coffee beans),5401.46,5444.81,5314.28,5245.58,5174.59,5263.18,5170.79,5098.77,5238.6,5342.59,5281.55,5250.3,5240.17
,Coffee Arabica (dried berries),1746.43,1731.16,1681.97,1646.79,1611.47,1632.54,1599.62,1626.44,1674.7,1668.48,1433.09,1447.34,0
,Coffee Arabica (green coffee beans),873.22,865.58,840.98,823.4,805.74,816.27,799.81,813.22,837.35,834.24,716.55,723.67,722.51
,Coffee Excelsa (dried berries),1489.34,1492.34,1429.46,1397.63,1396.9,1424.77,1383.87,1414.55,1411.24,1405.86,1397.33,1395.65,0
,Coffee Excelsa (green coffee beans),744.67,746.17,714.73,698.82,698.45,712.38,691.94,707.28,705.62,702.93,698.67,697.83,690.35
,Coffee Liberica (dried berries),164.6,175.5,163.1,159.9,156.2,158.85,154.14,157.89,160.67,159.53,155.67,157.08,0
,Coffee Liberica (green coffee beans),82.3,87.75,81.55,79.95,78.1,79.43,77.07,78.94,80.33,79.77,77.83,78.54,77.7
,Coffee Others (dried berries),0,0,0,0,0,0,0,0,0,0,0,0,0
,Coffee Others (green coffee beans),0,0,0,0,0,0,0,0,0,0,0,0,0
,Coffee Robusta (dried berries),7402.55,7490.62,7354.04,7286.84,7184.61,7310.21,7203.96,6998.65,7230.58,7451.3,7577.01,7500.52,0
,Coffee Robusta (green coffee beans),3701.28,3745.31,3677.02,3643.42,3592.3,3655.1,3601.98,3499.33,3615.29,3725.65,3788.51,3750.26,3749.62
,Cogon,28,21,26.5,22.35,17.5,16.5,14.7,8.5,6.5,6.5,6.25,6.15,6.1
,Coir,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coriander,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cotton,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cowpea,58.5,57.05,60.07,59.8,59.71,60.73,60.73,60.63,60.1,60.01,58.41,55.96,55.1
,Cowpea (dry),58.5,57.05,60.07,59.8,59.71,60.73,60.73,60.63,60.1,60.01,58.41,55.96,55.1
,Cowpea (green),0,0,0,0,0,0,0,0,0,0,0,0,0
,Cowpea tops,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cucumber,135.28,140.98,143.61,146.11,151.4,154.72,158.3,159.35,168.97,171.07,173.73,177.38,179.96
,D.Marginata Tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0
,D.Sanderiana White (Whitecorn),0,0,0,0,0,0,0,0,0,0,0,0,0
,D.Sanderiana Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dahlia,1.25,0.7,0,0,0,0,0,0,0,0,0,0,0
,Daisy,1.95,1.64,0,0,0,0,0,0,0,0,0,0,0
,Dawa,22.25,18.7,9.5,9.22,9.05,8.95,8.75,8.5,7.44,7.5,7.4,7.45,7.51
,Dendrobium,12.92,9.65,7.45,5.75,2.9,0.4,0.15,0.12,0.11,0.12,0.13,0.13,0
,Dracaena,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dragon fruit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Duhat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Durian,13785.05,258.82,9033.69,11866.59,6953.12,7788.42,6916.9,5816.38,6284.69,6601.01,6652.48,6540.58,6521.67
,Edible fern/Paco,44.46,43.61,47.51,49.45,50.3,49.72,48.98,49.81,50.06,51.34,52.14,53.12,54.26
,Eggplant,609.69,611.51,651.55,659.7,664.42,672.83,688.14,711.58,757.75,774.87,820.87,831.56,847.51
,Euphorbia,10.25,8.2,6.95,0.65,0,0,0,0,0,0,0,0,0
,Fishtail Palm,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flemingia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida Beauty,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gabi leaves w/ stem,88.38,86,85.89,88.88,89.04,89.43,89.65,92.34,91.65,95.32,98.35,99.16,100.46
,Gabi runner,0,0,0,0,0,0,0,0,0,0,0,0,0
,Garden pea/Gisantes,0,0,0,0,0,0,0,0,0,0,0,0,0
,Garlic (Dried bulb),0,0,0,0,0,0,0,0,0,0,0,0,0
,Garlic leeks,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gerbera,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ginger,871.98,874.58,978.42,1005.89,893.68,883.7,882.43,884.93,901.33,910.68,918.03,924,927.5
,Ginseng,3.15,1.08,0.6,0.35,0.3,0,0,0,0,0,0,0,0
,Gladiola,0,0,0,0,0,0,0,0,0,0,0,0,0
,Golden Melon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gotocola,0,0,0.11,0.16,0.12,0,0,0,0,0,0,0,0
,Granada,1.1,1,1.03,1,1.08,1.08,1.08,1.08,0.5,0.5,0.46,0.44,0.44
,Grapes,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grapes (Green),0,0,0,0,0,0,0,0,0,0,0,0,0
,Grapes (Red),0,0,0,0,0,0,0,0,0,0,0,0,0
,Greater yam/Ubi,308,309.7,310.35,312.75,315.44,315.31,319.03,324.78,328.95,336.88,346.86,347.92,348.99
,Green Corn Stalk,0,0,0,0,0,0,0,0,0,0,0,0,0
